Sr no,Number of transaction,Date,Onsite_ATMs,Offsite_ATMs,PoS_Terminals,Micro_ATMs,Bharat_QR_Codes,UPI_QR_Codes,Credit_Cards_Outstanding,Debit_Cards_Outstanding,CC_PoS_Volume,CC_PoS_Value_Crore,DC_PoS_Value_Crore,DC_Ecommerce_Volume,DC_Ecommerce_Value_Crore,DC_Other_Volume,DC_Other_Value_Crore,DC_ATM_Withdrawal_Volume,DC_ATM_Withdrawal_Value_Crore,DC_PoS_Cash_Withdrawal_Volume,DC_PoS_Cash_Withdrawal_Value_Crore,total_cash_withdrawal_value_crore,Ecommerce Spend,Cash_to_Digital_Reliance_Ratio,atm_ats,ecom_ats,qr_pos_ratio
35,61,2023-06-01,124610,94930,8093909,1495632,5688369,272015427,88682356,975833131,137870682,48854.0584,33778.4725,60094465,17012.926,163043,257.9483,554042939,272642.9596,228773,2.2674,272645.227,99645.45690000002,2.7361531120642586,4920.97,2831.03,34.31021969730571
36,61,2023-05-01,123968,95566,7960626,1465633,5545430,266757057,87747311,973926235,141998076,50810.9902,35588.7814,64520614,16913.7959,168727,273.3283,565590831,278080.4965,231260,22.7316,278103.2281,103313.5675,2.691836462815012,4916.64,2621.46,34.20616506792305
37,61,2023-04-01,123701,95739,7837235,1427883,5435545,260907677,86512698,967011806,140820010,51624.4511,37646.9544,65986012,16717.6074,156903,262.8275,566730618,281247.7741,208814,20.7348,281268.50889999996,105989.0129,2.6537515654134367,4962.64,2533.51,33.984335291719596
38,61,2023-03-01,123613,95893,7789512,1610556,5382044,256376760,85303238,961258764,140459965,50920.2003,35222.228,72836380,18198.4448,178422,303.343,587888749,284949.0246,230733,22.5508,284971.57540000003,104340.8731,2.731159582370794,4846.99,2498.54,33.604005488405434
39,61,2023-02-01,121944,95969,7758264,1559440,5222330,250089414,83365756,954121549,125588235,44610.8351,33432.2143,68168243,15984.4404,168078,276.7308,543346477,262097.799,216186,2.1413,262099.9403,94027.48979999998,2.7874820529346946,4823.77,2344.85,32.90835991144411
40,61,2023-01-01,121894,96243,7657412,1474548,5057494,244234238,82452029,945581088,140918856,48934.0711,37520.4272,76582588,17966.9528,175932,290.5727,570948261,270595.3437,242054,23.8066,270619.15030000004,104421.4511,2.5916049571159427,4739.4,2346.09,32.555611739318714
41,61,2022-12-01,120727,96365,7550065,1419271,4958536,236181825,81186874,939465892,140578775,48611.0772,39573.7643,80573071,18729.9782,204361,322.297,585032896,278927.1573,235640,23.155,278950.31230000005,106914.81970000001,2.6090893019576407,4767.72,2324.6,31.938845692056955
42,58,2022-11-01,20234,96747,7351681,1334449,4824864,230287297,80606319,947728880,127599426,43455.9911,37238.3619,82684963,18040.7281,197086,314.5868,556842372,264180.3821,226326,22.1022,264202.4843,98735.08110000001,2.6758724594798555,4744.26,2181.86,31.98073488226706
43,58,2022-10-01,120234,96747,7211092,1290549,4719014,225322711,79367754,944231664,140050765,51183.4752,46016.4837,91378059,20570.8059,332277,363.004,607830447,290556.59,210778,20.7394,290577.32940000005,117770.7648,2.4673129183924605,4780.22,2251.18,31.90109417547301
44,58,2022-09-01,120236,97072,7035017,1242683,4864347,216429798,77701744,938537898,131162791,44968.7809,38093.194,100578125,22669.006,601748,441.7142,568415012,263765.2333,266937,33.7325,263798.9658,105730.9809,2.495001593236898,4640.36,2253.87,31.456092430195977
45,58,2022-08-01,119970,97217,7057534,1170609,4749103,209254445,77991469,935025959,133053592,44943.1655,40552.4364,101732782,21159.539,631111,446.6796,572384459,267288.7498,216150,20.7066,267309.45639999997,106655.14090000001,2.506296969319366,4669.74,2079.91,30.32270875351079
46,58,2022-07-01,120659,97198,6819488,1135832,4521093,201301640,80255722,928134494,122069302,41766.619,41197.5862,107458644,22846.2376,661411,471.1377,573551845,270609.0482,224677,21.9851,270631.0333,105810.44279999999,2.5576968221514713,4718.13,2126.05,30.18155219277459
47,58,2022-06-01,120241,97447,6590890,1071631,4280392,195291415,78722617,915451104,121050714,40465.5133,39870.5705,107067495,20455.7517,704143,558.4706,569079212,269935.4715,227220,22.3551,269957.8266,100791.83549999999,2.678369981663842,4743.37,1910.55,30.27994807984961
48,58,2022-05-01,120044,97809,6169175,1013016,4138046,188116325,76876980,917621280,122026225,42265.6126,44272.5481,115871531,20979.0123,665129,548.3471,582901359,278832.7767,220175,21.6438,278854.4205,107517.17300000001,2.5935802878671295,4783.53,1810.54,31.16370843751393
49,58,2022-04-01,119727,97896,6126144,948440,4090174,180721191,75166069,920517551,115287191,39806.8196,43529.738,117379834,21006.8188,630037,525.116,579296526,285011.1243,223737,21.9158,285033.04010000004,104343.37640000001,2.731683120999715,4919.95,1789.64,30.16764950350498
50,58,2022-03-01,116794,98267,6070142,915834,4971779,172733615,73627330,917665707,113433127,38776.947,40769.9961,118976736,22687.3631,696701,594.5062,592787053,285892.5535,221118,21.3146,285913.86809999996,102234.3062,2.796652892040656,4822.85,1906.87,29.275327331716458
